Tipo Reporte;Operador;Aeródromo;Data;Hora;UF;Cidade;Fase de Operação;Efeito no Voo;Colisão;;year;month
ADMINISTRAÇÃO AEROPORTUÁRIA;Infraero;SBRJ;2023-08-23;08:00:00;RJ;Rio de Janeiro;;Nenhum;Não;detalhar?op===AUUhmRVxGcrJGbRpXTWJVU&acao=detalhar;2023;8
CONTROLADOR DE TRÁFEGO AÉREO;;SBSJ;2023-08-23;10:30:00;SP;Sao Jose dos Campos;;Nenhum;Não;detalhar?op===AUUhmRVxGcr1UMSNUTWJVU&acao=detalhar;2023;8
CONTROLADOR DE TRÁFEGO AÉREO;nil;SBRJ;2023-08-23;10:55:00;RJ;Rio de Janeiro;Outra;Outros;Não;detalhar?op===AUUhmRVxGcvdlRSNVTWJVU&acao=detalhar;2023;8
OUTRO;SAFE Escola de Aviação;SBSJ;2023-08-23;07:42:00;SP;Sao Jose dos Campos;;;;detalhar?op===AUUhmRVxGcvdlRSVXTWJVU&acao=detalhar;2023;8
CONTROLADOR DE TRÁFEGO AÉREO;NIL;SBRJ;2023-08-22;23:45:00;RJ;Rio de Janeiro;Outra;Outros;Não;detalhar?op===AUUhmRVxGcr1UMSNVTWJVU&acao=detalhar;2023;8
CONTROLADOR DE TRÁFEGO AÉREO;AZUL;SBRJ;2023-08-21;20:44:00;RJ;Rio de Janeiro;Aproximação f...;Nenhum;Não;detalhar?op===AUUhmRVxGcrJGbSNVTWJVU&acao=detalhar;2023;8
ADMINISTRAÇÃO AEROPORTUÁRIA;;SBRJ;2023-08-20;09:45:00;RJ;Rio de Janeiro;;Nenhum;Não;detalhar?op===AUUhmRVxGcrdlRSNVTWJVU&acao=detalhar;2023;8
CONTROLADOR DE TRÁFEGO AÉREO;NAVBRASIL;SBJR;2023-08-20;20:22:00;RJ;Rio de Janeiro;Decolagem;Desvio manual;Não;detalhar?op===AUUhmRVxGcrdlRSVXTWJVU&acao=detalhar;2023;8
CONTROLADOR DE TRÁFEGO AÉREO;AZUL;SBRJ;2023-08-20;10:28:00;RJ;Rio de Janeiro;;;Não;detalhar?op===AUUhmRVxGcrJGbSVXTWJVU&acao=detalhar;2023;8
CONTROLADOR DE TRÁFEGO AÉREO;NAVBRASIL;SBJR;2023-08-19;18:48:00;RJ;Rio de Janeiro;Outra;Nenhum;Não;detalhar?op===AUUhmRVxGcrdlRSNUTWJVU&acao=detalhar;2023;8
CONTROLADOR DE TRÁFEGO AÉREO;nil;SBRJ;2023-08-19;00:52:00;RJ;Rio de Janeiro;Outra;Outros;Não;detalhar?op===AUUhmRVxGcrdlRRpXTWJVU&acao=detalhar;2023;8
CONTROLADOR DE TRÁFEGO AÉREO;AZUL;SBRJ;2023-08-19;10:33:00;RJ;Rio de Janeiro;Procedimento IF...;Nenhum;Não;detalhar?op===AUUhmRVxGcrJGbSNUTWJVU&acao=detalhar;2023;8
ADMINISTRAÇÃO AEROPORTUÁRIA;;SBKP;2023-08-19;22:53:00;SP;Campinas;Outra;Nenhum;Não;detalhar?op===AUUhmRVxGc3dlRSNUTWJVU&acao=detalhar;2023;8
OUTRO;FAB;SBAF;2023-08-17;23:55:00;RJ;Rio de Janeiro;Outra,Manobra;Nenhum;;detalhar?op===AUUhmRVxmWXVGbSNVTWJVU&acao=detalhar;2023;8
CONTROLADOR DE TRÁFEGO AÉREO;TWR-MT;SBMT;2023-08-16;20:34:00;SP;Sao Paulo;Aproximação f...;Nenhum;;detalhar?op===AUUhmRVxmWXFGbRpXTWJVU&acao=detalhar;2023;8
CONTROLADOR DE TRÁFEGO AÉREO;GLO;SBRJ;2023-08-13;15:50:00;RJ;Rio de Janeiro;Procedimento IF...;;;detalhar?op===AUUhmRVxmWXZlRSVXTWJVU&acao=detalhar;2023;8
CONTROLADOR DE TRÁFEGO AÉREO;OMNI TAXI AEREO;SBMI;2023-08-12;09:36:00;RJ;Marica;Decolagem;Nenhum;Não;detalhar?op===AUUhmRVxmWTVGbSNVTWJVU&acao=detalhar;2023;8
CONTROLADOR DE TRÁFEGO AÉREO;GOA;SBMI;2023-08-12;13:00:00;RJ;Marica;Outra;Nenhum;Não;detalhar?op===AUUhmRVxmWXZlRSNUTWJVU&acao=detalhar;2023;8
CONTROLADOR DE TRÁFEGO AÉREO;TAM;SBRJ;2023-08-12;09:48:00;RJ;Rio de Janeiro;Procedimento IF...;Nenhum;;detalhar?op===AUUhmRVxmWXZlRSNVTWJVU&acao=detalhar;2023;8
OUTRO;GTE;SBRJ;2023-08-10;09:30:00;RJ;Rio de Janeiro;Outra;Desvio manual;Não;detalhar?op===AUUhmRVxmWXFGbSNUTWJVU&acao=detalhar;2023;8
ADMINISTRAÇÃO AEROPORTUÁRIA;;SBKP;2023-08-07;08:07:00;SP;Campinas;Outra;Nenhum;Não;detalhar?op===AUUhmRVxmWXFGbSVXTWJVU&acao=detalhar;2023;8
CONTROLADOR DE TRÁFEGO AÉREO;blmj;SBMT;2023-08-06;00:00:00;SP;Sao Paulo;Pairado;Nenhum;Não;detalhar?op===AUUhmRVxmWLFGbSNUTWJVU&acao=detalhar;2023;8
CONTROLADOR DE TRÁFEGO AÉREO;HDGJ;SBBS;2023-08-06;00:00:00;SP;Sao Jose dos Campos;Subida;Nenhum;Não;detalhar?op===AUUhmRVxmWLFGbSNVTWJVU&acao=detalhar;2023;8
CONTROLADOR DE TRÁFEGO AÉREO;HDGJ;SBBS;2023-08-06;12:04:00;SP;Sao Paulo;Outra;Desvio manual;Não;detalhar?op===AUUhmRVxmWLFGbSVXTWJVU&acao=detalhar;2023;8
CONTROLADOR DE TRÁFEGO AÉREO;;SBMK;2023-08-06;08:35:00;MG;Montes Claros;;Nenhum;Não;detalhar?op===AUUhmRVxmWLFGbRpXTWJVU&acao=detalhar;2023;8
CONTROLADOR DE TRÁFEGO AÉREO;AZU4292;sdll;2023-08-06;12:14:00;SP;Leme;Subida;Nenhum;Não;detalhar?op===AUUhmRVxmWLVGbSNUTWJVU&acao=detalhar;2023;8
TRIPULANTE;Latam;SBSP;2023-08-06;10:10:00;SP;Sao Paulo;Subida;Nenhum;Não;detalhar?op===AUUhmRVxmWLVGbSNVTWJVU&acao=detalhar;2023;8
CONTROLADOR DE TRÁFEGO AÉREO;;;2023-08-06;08:40:00;PR;Curitiba;Outra;Nenhum;Não;detalhar?op===AUUhmRVxmWPZlRSNUTWJVU&acao=detalhar;2023;8
CONTROLADOR DE TRÁFEGO AÉREO;;SBSP;2023-08-06;00:00:00;SP;Sao Paulo;Aproximação f...;Nenhum;Não;detalhar?op===AUUhmRVxmWPZlRSNVTWJVU&acao=detalhar;2023;8
CONTROLADOR DE TRÁFEGO AÉREO;RTWZ;;2023-08-06;14:58:00;SP;Araraquara;Subida;;Não;detalhar?op===AUUhmRVxmWPZlRSVXTWJVU&acao=detalhar;2023;8
CONTROLADOR DE TRÁFEGO AÉREO;TWR-SP;SBSP;2023-08-06;00:00:00;SP;Sao Paulo;Aproximação f...;Nenhum;Não;detalhar?op===AUUhmRVxmWPZlRRpXTWJVU&acao=detalhar;2023;8
CONTROLADOR DE TRÁFEGO AÉREO;;SBJR;2023-08-06;00:00:00;RJ;Rio de Janeiro;;;Não;detalhar?op===AUUhmRVxmWPFGbSNUTWJVU&acao=detalhar;2023;8
CONTROLADOR DE TRÁFEGO AÉREO;AZUL;SBRJ;2023-08-06;14:50:00;RJ;Rio de Janeiro;Procedimento IF...;Desvio manual;Não;detalhar?op===AUUhmRVxmWPVGbSNVTWJVU&acao=detalhar;2023;8
